Full Name,How important is the outdoors to you?(1-10),How much do you enjoy camping?,How much do you enjoy hiking?,How likely are you to go on an outdoors trip on the weekend?, How important is food in your life?(1-10), How much do you enjoy cooking?, How much do you enjoy eating out?, How likely are you to try new cuisines?,How important is travel to you?(1-10),How much do you enjoy car rides?,How likely are you to relocate in the name of advdenture?,How thrilled do you get about new experiences?, How important is faith to you?(1-10), How important is worship to your spiritual life?, How important is it to you to be able to pray with your friends?, How comfortable are you with sharing and talking about your faith?,How important is chill time to you?(1-10),How likely are you to excerise for self-care?,How likely are you to binge watch an entire season?,How likely are you going to go outside on a sunny day?, How important is music in your life?(1-10),How likely are you to use music to relax?,Are you open to new music/musical experiences?,Is music one of your main forms of expression?"
1,Matt C,3,4,9,7,8,7,10,3,7,5,5,10,6,7,9,2,6,8,10,7,4,4,1,2,618
2,Brain R,6,1,2,8,2,5,10,4,7,7,8,8,3,3,10,3,5,4,5,7,2,7,4,6,393
3,Eloisa,3,10,1,3,8,3,10,8,5,6,1,10,10,5,6,2,3,7,6,7,6,2,1,9,485
4,Riley,4,1,4,3,7,6,7,7,2,3,2,3,3,3,4,5,1,9,1,1,4,6,6,4,235
5,Spike,1,3,10,6,5,4,6,2,3,8,10,9,7,10,3,5,1,5,4,9,5,9,10,3,304
6,Tim,7,9,4,2,2,3,3,10,3,5,7,5,5,7,5,8,9,1,1,3,9,2,10,7,333
7,Eric,3,1,1,2,3,7,1,2,5,3,2,8,1,8,2,3,9,5,1,6,10,10,1,3,228
8,Tom,3,1,10,5,7,8,4,4,10,2,9,9,6,7,10,8,5,4,8,6,3,1,4,6,600
9,Jerry,9,4,6,8,6,9,2,2,1,1,8,4,10,10,8,4,4,4,4,8,6,1,1,6,537
10,Will,9,7,10,4,6,6,6,9,6,7,7,1,7,8,4,8,3,4,3,9,1,10,4,6,593
11,Harry,6,1,8,5,7,7,9,10,4,6,1,5,8,8,8,10,10,9,5,10,1,1,3,6,762
1,Ron,9,2,4,7,2,9,7,1,6,8,2,1,10,2,5,4,6,8,2,2,4,5,4,1,399
